industry,total_funding,country,region,city,funding_rounds,company_age
19158,-0.022998971311786024,122,958,1181,-0.5818800097797329,0.6557789816630797
23072,-0.08629561337615982,52,411,1725,-0.5818800097797329,-0.21757006711895227
23072,-0.07645897305534498,122,663,2655,0.10539657560366476,0.4617014152670726
20324,-0.07984980196993438,122,788,3379,-0.5818800097797329,0.7528177648610833
13828,-0.022998971311786024,122,53,179,-0.5818800097797329,-0.4116476335149594
18726,-0.07645897305534498,39,325,2232,-0.5818800097797329,-0.31460885031695585
6283,-0.08447797331687881,122,663,2655,-0.5818800097797329,-0.6057251999109665
22636,-0.08615127137145222,122,788,3423,-0.5818800097797329,-0.4116476335149594
7337,-0.082647369207175,122,246,85,-0.5818800097797329,2.111360729633133
10731,-0.08554717335175,52,411,1725,-0.5818800097797329,-0.6057251999109665
23072,0.08926703234968777,122,39,1767,-0.5818800097797329,0.6557789816630797
6415,-0.018722171172301308,52,626,2554,0.10539657560366476,-0.31460885031695585
1153,-0.08712410440718045,18,963,4006,-0.5818800097797329,-0.4116476335149594
18401,0.13832721555917676,4,892,3771,-0.5818800097797329,-0.4116476335149594
23008,-0.08584120336133957,52,70,229,0.10539657560366476,-0.4116476335149594
6501,0.6987110522262598,83,637,2092,-0.5818800097797329,1.6261668136431153
6642,-0.08663635138927274,122,788,3379,-0.5818800097797329,-0.4116476335149594
228,-0.07271677293329586,122,788,3423,1.4799497463704598,-0.31460885031695585
11656,-0.06042097253227729,122,788,3379,0.10539657560366476,-0.31460885031695585
18726,-0.08693713339708253,15,820,3781,-0.5818800097797329,-0.4116476335149594
23072,-0.07645897305534498,30,229,1612,-0.5818800097797329,-0.12053128392094872
19331,-0.07645897305534498,122,788,3379,-0.5818800097797329,-0.02349250072294517
23072,-0.07645897305534498,122,734,2996,0.7926731609870624,-0.12053128392094872
7337,0.02655428042435713,122,663,2655,0.7926731609870624,-0.12053128392094872
15424,-0.06309397261945524,96,707,3148,0.10539657560366476,-0.31460885031695585
18726,0.12668903357017905,21,79,272,0.7926731609870624,0.07354628247505839
502,0.07322903182662009,126,167,596,0.10539657560366476,-0.4116476335149594
7910,-0.08683021339359541,122,788,943,-0.5818800097797329,-0.508686416712963
502,0.05077583109432533,122,663,2655,0.7926731609870624,0.8498565480590868
22583,-0.07918543314426649,18,159,560,-0.5818800097797329,3.761020043999194
822,-0.07913197314252292,122,788,2895,0.7926731609870624,-0.21757006711895227
23239,-0.08180497322970087,122,809,972,-0.5818800097797329,0.8498565480590868
14937,-0.07645897305534498,122,816,3421,-0.5818800097797329,0.2676238488710655
